date,DayStress,year,NCTL,DayStress_norm,NCTL_norm,CTBI
2022-04-01,38.15363935978605,2022,2.2503522864756462,0.870499542469634,0.027364147858101973,0.1346795535491604
2022-04-02,38.41187069100254,2022,2.169313166635302,0.8763912544910096,0.026378717056476403,0.22969118321653517
2022-04-03,37.41139944109786,2022,1.6808908960923183,0.8535648667620848,0.020439531752623433,0.2918844880287808
2022-04-04,37.77082154206204,2022,0.0,0.8617653105386898,0.0,0.33358393820095
2022-04-05,39.26385387486391,2022,0.11966494107180736,0.895829792575134,0.0014551184543858012,0.36810149339509296
2022-04-06,37.83204317586778,2022,0.0,0.8631621210425212,0.0,0.3871453635329432
2022-04-07,38.00411673701371,2022,0.0,0.8670880887552246,0.0,0.40106496778634393
2022-04-08,39.249775841395646,2022,0.0,0.8955085932898591,0.0,0.4150717664439196
2022-04-09,37.80457586247741,2022,0.0,0.8625354368220798,0.0,0.41993055203405566
2022-04-10,37.36264188040872,2022,0.0,0.8524524320118477,0.0,0.4218192512256161
2022-04-11,36.86985288857383,2022,0.0,0.8412091378169962,0.0,0.42145484653048065
2022-04-12,36.91032283220314,2022,0.0,0.8421324853142266,0.0,0.4213382653684704
2022-04-13,37.37049861712626,2022,0.0,0.8526316884558643,0.0,0.4228315390263089
2022-04-14,37.423783832630086,2022,0.0,0.8538474245296651,0.0,0.42405919099786593
2022-04-15,37.84928330988037,2022,0.069116812484598,0.8635554656623765,0.0008404562644150766,0.42650082198752487
2022-04-16,38.26574890886897,2022,0.9628477150020736,0.8730573931182415,0.011708170048084384,0.4312654098662163
2022-04-17,38.12830617415431,2022,1.1812434422935816,0.8699215497310182,0.014363848898502108,0.43452859670077937
2022-04-18,38.43455253567996,2022,1.4856019192057843,0.876908755199864,0.018064829591234354,0.4384160554092103
2022-04-19,38.02526583072719,2022,1.8239878880765055,0.8675706187762176,0.02217958253055629,0.44035376898246326
2022-04-20,36.59184039412477,2022,2.4023069075587706,0.8348661059783659,0.029211906870781994,0.4378593402150964
2022-04-21,38.720960465949375,2022,3.9648214106112967,0.8834433342450804,0.04821198883524679,0.4462498366126166
2022-04-22,38.37095337219599,2022,4.814489384400975,0.8754576998446415,0.058543900067460124,0.4524751256156468
2022-04-23,38.91041360981298,2022,5.222551890317842,0.8877658281885159,0.06350591548805218,0.4594233494824379
2022-04-24,38.88015898521148,2022,5.353655195131164,0.8870755496904454,0.0651001237545348,0.4644226956544536
