Ward_ID,Ward_Name,date,UTCI_mean,UTCI_max,UTCI_min,NCTL,DayStress,DayStress_norm,NCTL_norm,CTBI
1,Ramol Hathijan,2021-04-01,28.865797267498035,43.22901451714225,16.560956563479795,0.0,37.30940320975475,0.6848606672222783,0.0,0.1027291000833417
1,Ramol Hathijan,2021-04-02,30.250198909482663,43.855992339767305,20.187846817822003,0.0,38.30343856735811,0.7269336528114104,0.0,0.1809504179800508
1,Ramol Hathijan,2021-04-03,31.13662841096671,44.63068510958728,20.76825396306964,0.0,38.91263436970094,0.7527181342354172,0.0,0.2395730127213481
1,Ramol Hathijan,2021-04-04,31.6111549693712,44.59398395877944,21.994998951233857,0.0,39.23323802343415,0.7662878254945511,0.0,0.2826442827291263
1,Ramol Hathijan,2021-04-05,32.33475693736823,44.728842734530666,20.580646182800727,0.0,39.910378005004745,0.7949480743162161,0.0,0.3170932090578208
1,Ramol Hathijan,2021-04-06,31.78022942980608,44.62173401369007,20.53727010341855,0.0,39.380990915480325,0.772541531914813,0.0,0.3378464761276965
1,Ramol Hathijan,2021-04-07,31.48912181711785,44.51404625112264,20.535202118918807,0.0,38.45806305084847,0.7334782023748204,0.0,0.3465142636456106
1,Ramol Hathijan,2021-04-08,31.032477209200476,44.22735320038205,17.70624896358411,0.0,38.91873829777679,0.7529764856874135,0.0,0.3555064574050394
1,Ramol Hathijan,2021-04-09,30.01114258217993,44.502454077939085,18.158775176471117,0.0,38.351923854547145,0.7289858140082793,0.0,0.3582023922847694
1,Ramol Hathijan,2021-04-10,30.48589402909727,44.80353398804328,17.287344686596626,0.0,38.701539738928034,0.7437834607446625,0.0,0.362309193711038
1,Ramol Hathijan,2021-04-11,30.6072028991224,45.33180459978038,17.93145710191395,0.0,39.419023139936975,0.7741512626142775,0.0,0.3697391249898681
1,Ramol Hathijan,2021-04-12,31.909494321700013,45.29451486388156,18.87162709469345,0.0,39.68308033290758,0.7853275999443143,0.0,0.3766165274845549
1,Ramol Hathijan,2021-04-13,30.749711793328682,43.90791211284787,19.984274788639087,0.0,38.30923633345152,0.7271790458222642,0.0,0.372708426112528
1,Ramol Hathijan,2021-04-14,30.189668692402364,43.48623962905308,18.88601849526024,0.0,37.5451213303283,0.6948375407953666,0.0,0.3651215293980746
1,Ramol Hathijan,2021-04-15,31.214444796449424,43.28362075958658,20.33882651436153,0.0,38.84132297176202,0.7496998478184643,0.0,0.3680400477514218
1,Ramol Hathijan,2021-04-16,32.42444613424322,43.2463089660916,22.790585209976395,0.0,38.60395944820954,0.7396533318374966,0.0,0.3685760332016197
1,Ramol Hathijan,2021-04-17,32.34072911047114,44.10760745313153,21.60888162147089,0.0,39.27627578551701,0.7681094177850571,0.0,0.3732196359088923
1,Ramol Hathijan,2021-04-18,32.11590977106606,45.444197514098406,21.716049478538867,0.0,39.7842750170456,0.789610709649487,0.0,0.3796953515836476
1,Ramol Hathijan,2021-04-19,33.14888934319409,44.74653931785522,23.61625057308258,0.0,39.75103402041933,0.7882037697842922,0.0,0.3840173115761972
1,Ramol Hathijan,2021-04-20,31.917954763031926,42.22256029206508,23.834139795853183,0.0,37.47702185386186,0.6919552003734847,0.0,0.3726053981593606
1,Ramol Hathijan,2021-04-21,31.603648681404067,42.877144501138126,22.104224877136875,0.0,38.19559726582882,0.7223692220892537,0.0,0.3691791620249405
1,Ramol Hathijan,2021-04-22,32.71069925420209,44.368875577854695,22.9009461662012,0.0,39.81790588824178,0.7910341511280662,0.0,0.3770805360866682
1,Ramol Hathijan,2021-04-23,33.212374879118244,44.364492202643824,24.39680885446903,0.0,39.71228740281219,0.7865638020791761,0.0,0.3819409455725441
1,Ramol Hathijan,2021-04-24,33.68970072798531,45.58710812879618,23.420939212543416,0.0,40.43348111214178,0.8170886443873547,0.0,0.3899219585588841
1,Ramol Hathijan,2021-04-25,32.504746581683015,45.72730282370708,19.77280678023274,0.0,40.275400926811365,0.8103978307171356,0.0,0.3945050455987892
1,Ramol Hathijan,2021-04-26,33.0341992094833,46.54968532304585,20.584127136041708,0.0,40.8196031634128,0.8334314307626198,0.0,0.4011682465335454
1,Ramol Hathijan,2021-04-27,33.44027915942518,46.877119429338464,22.99784198369745,0.0,40.79821176796655,0.8325260305014949,0.0,0.405696677148706
1,Ramol Hathijan,2021-04-28,33.167585252658775,45.582887618710586,23.18826240075124,0.0,40.21089556418234,0.8076676127509899,0.0,0.4051378159167427
1,Ramol Hathijan,2021-04-29,33.75737213767393,46.535236947035,24.11886236067678,0.0,40.37153872689608,0.8144669055710594,0.0,0.4057665069773787
1,Ramol Hathijan,2021-04-30,34.71249832328663,46.11857435046316,25.382498880869893,0.0,41.0515242272039,0.8432475922301805,0.0,0.4105236937186922
1,Ramol Hathijan,2021-05-01,34.34490501058062,45.540247394703286,25.73260919990888,0.0,40.41548664163776,0.8163270204748766,0.0,0.409815638674316
1,Ramol Hathijan,2021-05-02,33.859786932983205,45.71758678433183,23.84693253045892,0.0,40.50601877394156,0.8201588329638757,0.0,0.4098947720166025
1,Ramol Hathijan,2021-05-03,34.03223954410104,45.06587362975677,24.644705068938805,0.0,40.45098889201536,0.8178296689039222,0.0,0.4096007907472101
1,Ramol Hathijan,2021-05-04,33.868077597056526,44.97057114760292,24.50183814717646,0.0,40.32156682270736,0.8123518226530206,0.0,0.4085733269210001
1,Ramol Hathijan,2021-05-05,34.206099601272776,45.90857661387432,25.52818439605831,0.0,40.70357612127746,0.8285205349535617,0.0,0.4102794090877343
1,Ramol Hathijan,2021-05-06,35.08230724596991,46.04811438681188,26.33567366420209,0.0,41.1710085591127,0.8483048193560309,0.0,0.4144413092648186
1,Ramol Hathijan,2021-05-07,36.12239667407089,46.983721342517065,27.43325456491931,0.9787688098769678,42.181928361108525,0.8910924465121567,0.0546803093857985,0.4319748298700663
1,Ramol Hathijan,2021-05-08,36.601096566561516,46.82360183873327,28.039901398044627,2.0046758398201163,42.00283509796369,0.8835122450416875,0.1119940623704369,0.4517083270208651
1,Ramol Hathijan,2021-05-09,36.709302572650856,46.56730437008912,26.614111448330096,1.7164744212007932,42.57912010003847,0.9079037623072131,0.0958932808819958,0.4667653853929869
1,Ramol Hathijan,2021-05-10,35.14556079578955,45.53569242706703,25.29100832780336,0.0,41.18857439719636,0.849048301211985,0.0,0.4540930149568886
1,Ramol Hathijan,2021-05-11,34.83406787683375,44.766947416640406,26.242050492580876,0.0,40.64935752426227,0.8262257088858223,0.0,0.4417989668026953
1,Ramol Hathijan,2021-05-12,34.34082952748862,44.8911995431777,26.56863704896077,0.0,40.22550839160449,0.8082861071263118,0.0,0.4305021928308334
1,Ramol Hathijan,2021-05-13,34.49362980278615,44.76338570895629,28.145857372853666,0.3060899896483988,39.57332291222443,0.7806820686325949,0.0171001519102087,0.421018868063004
1,Ramol Hathijan,2021-05-14,35.660935111256386,45.449149100096506,26.314388856729177,0.0,41.47109512684174,0.8610061158873701,0.0,0.4238641250272082
1,Ramol Hathijan,2021-05-15,37.178034958858674,48.10488163059839,26.96371034625528,4.445370995292272,42.35615011935729,0.8984664593860914,0.2483469629439779,0.4687269008685562
1,Ramol Hathijan,2021-05-16,35.77914566193481,49.511482777793375,26.57072076217677,0.0,41.838006966207786,0.8765358215583522,0.0,0.4595892038417421
1,Ramol Hathijan,2021-05-17,31.565726318633057,41.71673662100937,24.460999192550187,0.0,35.417217461030866,0.6047730696040585,0.0,0.4124284031298282
1,Ramol Hathijan,2021-05-18,20.58377178609496,23.42060446993828,19.144434499382825,0.0,21.12857580428001,0.0,0.0,0.2886998821908797
1,Ramol Hathijan,2021-05-19,26.999628427297324,35.08252713040305,20.452271313124992,0.0,30.486225317936675,0.3960666490631233,0.0,0.2614999148930843
1,Ramol Hathijan,2021-05-20,33.95268829204143,42.89292972872978,23.328127985776803,0.0,39.620029087778434,0.782658928143654,0.0,0.3004487796467071
1,Ramol Hathijan,2021-05-21,33.3648556643559,41.64119559766221,26.86839625354912,0.0,38.01410704114853,0.7146875681630266,0.0,0.3175172809771489
1,Ramol Hathijan,2021-05-22,33.54692331741322,42.26290879274173,27.14434251388382,0.0729909702020137,38.7557501561364,0.7460779405984652,0.0040777441952992,0.3347854494030689
1,Ramol Hathijan,2021-05-23,34.443486552178925,41.83567424521922,28.544292638909848,0.727379955015337,39.325186689707685,0.7701795934095211,0.0406361140444048,0.3559721707002371
1,Ramol Hathijan,2021-05-24,35.06287881334941,44.08824432196981,25.98911162995287,1.3657052967333243,40.26611315817076,0.8100047218068918,0.0762970656621035,0.3821257876105152
1,Ramol Hathijan,2021-05-25,35.014350024369065,44.22651628109735,26.198448741538048,0.4305686410805407,40.681682830206015,0.8275938917384066,0.0240543285283746,0.3952352843673778
1,Ramol Hathijan,2021-05-26,33.757904122673025,42.27932585411294,27.322395335440177,0.209193846309418,39.07438902394623,0.7595644714255202,0.011686911272992,0.3923524064619413
1,Ramol Hathijan,2021-05-27,34.5026750178742,42.7973599917784,28.425160182245545,0.0,39.83257988084184,0.7916552343465604,0.0,0.3933949696753429
1,Ramol Hathijan,2021-05-28,34.69239880652191,43.634289590148256,28.473610680926488,0.8220163332089641,40.129884650323575,0.8042387900383252,0.0459231096929783,0.4029007637324355
1,Ramol Hathijan,2021-05-29,35.216245952302735,44.18526490178578,29.204695045838605,0.7172709515678832,40.61256909027437,0.8246686221673463,0.0400713602123345,0.4117415319696569
1,Ramol Hathijan,2021-05-30,35.12184589433192,44.2932169494877,28.77086910020792,0.0,40.62959064133418,0.8253890668345971,0.0,0.4120274324039494
1,Ramol Hathijan,2021-05-31,34.09898612900309,42.4666606772989,27.323219531139475,0.0,39.04733493524279,0.758419395170998,0.0,0.4021821119584143
