time,latitude,longitude,temp_C,dewpoint_C,wind_speed,RH
2021-04-01 07:00:00,23.0,72.25,34.36209,11.901642,1.4171985,25.655153
2021-04-01 07:00:00,23.0,72.5,34.625763,11.108673,1.1366838,23.990469
2021-04-01 07:00:00,23.0,72.75,35.0242,9.63797,1.0356592,21.27323
2021-04-01 07:00:00,22.75,72.25,35.26834,11.104767,1.498574,23.14499
2021-04-01 07:00:00,22.75,72.5,34.0867,13.055939,1.1985677,28.101475
2021-04-01 07:00:00,22.75,72.75,34.256622,12.581329,1.3518378,26.985355
2021-04-01 08:00:00,23.25,72.25,37.427643,6.738983,1.0865313,15.31267
2021-04-01 08:00:00,23.25,72.5,37.53311,5.985077,0.8345316,14.454712
2021-04-01 08:00:00,23.25,72.75,36.892487,7.1042175,0.6450849,16.166132
2021-04-01 08:00:00,23.0,72.25,36.859283,8.356171,1.1802349,17.637257
2021-04-01 08:00:00,23.0,72.5,37.058502,7.6217957,1.0292834,16.596771
2021-04-01 08:00:00,23.0,72.75,37.443268,6.4499207,1.0523452,14.998651
2021-04-01 08:00:00,22.75,72.25,37.61319,7.797577,1.4749831,16.296627
2021-04-01 08:00:00,22.75,72.5,36.65616,9.403046,1.1843369,19.140162
2021-04-01 08:00:00,22.75,72.75,36.804596,9.461639,1.3731425,19.060207
2021-04-01 09:00:00,23.25,72.25,37.963867,4.3921814,1.354486,12.640163
2021-04-01 09:00:00,23.25,72.5,38.166992,3.8335876,1.1770986,12.021499
2021-04-01 09:00:00,23.25,72.75,37.63965,5.023041,1.0829629,13.443759
2021-04-01 09:00:00,23.0,72.25,37.5166,5.6597595,1.4118695,14.145806
2021-04-01 09:00:00,23.0,72.5,37.776367,5.1265564,1.3465506,13.440704
2021-04-01 09:00:00,23.0,72.75,38.20215,4.0992126,1.4477079,12.224494
2021-04-01 09:00:00,22.75,72.25,38.34668,4.726166,1.7701622,12.673047
2021-04-01 09:00:00,22.75,72.5,37.479492,6.4058533,1.5229229,14.92376
2021-04-01 09:00:00,22.75,72.75,37.631836,6.4742126,1.6948183,14.870374
2021-04-01 10:00:00,23.25,72.25,37.637146,7.818512,1.4145374,16.298622
2021-04-01 10:00:00,23.25,72.5,37.830505,7.757965,1.2099209,16.061924
