time,latitude,longitude,tdb,mrt,v,rh,utci,number,step,surface,valid_time
2021-04-01 04:00:00,23.25,72.5,25.607147,46.073395,1.887963,37.883316,29.434348444041888,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 04:00:00,23.25,72.75,25.064178,45.82193,1.4233377,40.395042,29.62152922386981,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 04:00:00,23.0,72.25,25.530975,45.72705,2.401965,50.93761,29.260185201255204,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 04:00:00,23.0,72.5,25.630585,45.895752,2.208738,46.70748,29.42206005142418,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 04:00:00,23.0,72.75,25.7341,46.415985,1.783806,42.064922,29.942869579315623,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 04:00:00,22.75,72.25,26.64035,46.35547,2.7318068,53.000023,30.037945081462805,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 04:00:00,22.75,72.5,25.493866,45.69165,2.14251,56.003105,29.857097197203093,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 04:00:00,22.75,72.75,25.525116,45.73459,1.7639627,52.543373,30.185048343999824,0,0 days,0.0,2021-04-01 04:00:00
2021-04-01 05:00:00,23.25,72.25,30.336945,51.55185,1.8493176,26.33104,34.0788462596463,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,23.25,72.5,30.579132,52.04599,1.6184287,24.0006,34.46081649696864,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,23.25,72.75,29.967804,51.68988,1.1913455,26.31196,34.25466054970831,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,23.0,72.25,29.876007,51.213684,2.1171305,32.95445,33.686534493355104,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,23.0,72.5,30.055695,51.527893,1.8735614,30.234879,34.008514534099106,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,23.0,72.75,30.25296,52.22589,1.5149502,26.675165,34.448516958374135,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,22.75,72.25,30.807648,51.819397,2.328728,32.903984,34.437547378441685,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,22.75,72.5,29.481476,50.98462,1.7711328,37.560913,33.87088212839827,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 05:00:00,22.75,72.75,29.50882,50.96878,1.5453929,35.242313,33.95685956368871,0,0 days,0.0,2021-04-01 05:00:00
2021-04-01 06:00:00,23.25,72.25,33.989716,54.571625,1.5408537,22.585327,37.938873618696164,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,23.25,72.5,34.308075,55.297516,1.2033645,20.508667,38.351862266771036,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,23.25,72.75,33.74167,54.836884,0.8272483,21.897388,37.87278697857418,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,23.0,72.25,33.481903,53.934296,1.7518083,27.190575,37.50252653877732,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,23.0,72.5,33.7612,54.45102,1.4364711,24.859396,37.89766794330883,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,23.0,72.75,34.138153,55.332275,1.1891153,21.644663,38.29990263587298,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,22.75,72.25,34.476044,54.50714,1.8377612,25.765823,38.41532989898811,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,22.75,72.5,33.19284,53.577698,1.3879715,30.254004,37.545549171907986,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 06:00:00,22.75,72.75,33.33737,53.546143,1.3612077,28.359938,37.555607751243734,0,0 days,0.0,2021-04-01 06:00:00
2021-04-01 07:00:00,23.25,72.25,34.94803,56.34677,1.2769347,22.156963,39.28512861332622,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,23.25,72.5,35.16678,57.160156,0.92192006,20.602427,39.578048794284,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,23.25,72.75,34.53592,56.656433,0.6379425,21.886248,38.95895101607531,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,23.0,72.25,34.36209,55.592255,1.4171985,25.655153,38.776942606864296,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,23.0,72.5,34.625763,56.199524,1.1366838,23.990469,39.124425751097206,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,23.0,72.75,35.0242,57.183655,1.0356592,21.27323,39.51989519488652,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,22.75,72.25,35.26834,56.07605,1.498574,23.14499,39.51657457306292,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,22.75,72.5,34.0867,55.19098,1.1985677,28.101475,38.67258787997617,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 07:00:00,22.75,72.75,34.256622,55.187164,1.3518378,26.985355,38.69561310106131,0,0 days,0.0,2021-04-01 07:00:00
2021-04-01 08:00:00,23.25,72.25,37.427643,58.748016,1.0865313,15.31267,41.48586609832096,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,23.25,72.5,37.53311,59.633514,0.8345316,14.454712,41.62000814579826,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,23.25,72.75,36.892487,59.096954,0.6450849,16.166132,41.03546469160644,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,23.0,72.25,36.859283,57.901093,1.1802349,17.637257,41.01639826249246,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,23.0,72.5,37.058502,58.60016,1.0292834,16.596771,41.24662803487383,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,23.0,72.75,37.443268,59.644653,1.0523452,14.998651,41.677292674609504,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,22.75,72.25,37.61319,58.25534,1.4749831,16.296627,41.652456605953,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,22.75,72.5,36.65616,57.488495,1.1843369,19.140162,40.870760561173945,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 08:00:00,22.75,72.75,36.804596,57.565308,1.3731425,19.060207,41.005099097726735,0,0 days,0.0,2021-04-01 08:00:00
2021-04-01 09:00:00,23.25,72.25,37.963867,61.27884,1.354486,12.640163,42.30643299839783,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,23.25,72.5,38.166992,62.132263,1.1770986,12.021499,42.59317068868642,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,23.25,72.75,37.63965,61.59543,1.0829629,13.443759,42.15267558661012,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,23.0,72.25,37.5166,60.462677,1.4118695,14.145806,41.88031347829898,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,23.0,72.5,37.776367,61.154083,1.3465506,13.440704,42.20269426287476,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,23.0,72.75,38.20215,62.143707,1.4477079,12.224494,42.68452949447817,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,22.75,72.25,38.34668,60.776978,1.7701622,12.673047,42.51891788221221,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,22.75,72.5,37.479492,60.095154,1.5229229,14.92376,41.833172670091656,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 09:00:00,22.75,72.75,37.631836,60.203796,1.6948183,14.870374,41.96894547799213,0,0 days,0.0,2021-04-01 09:00:00
2021-04-01 10:00:00,23.25,72.25,37.637146,62.80313,1.4145374,16.298622,42.79131608748684,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,23.25,72.5,37.830505,63.55002,1.2099209,16.061924,43.127942935277375,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,23.25,72.75,37.375427,63.003082,1.1107134,17.49944,42.72291657109007,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,23.0,72.25,37.23871,62.063934,1.4458357,17.836271,42.38904429789608,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,23.0,72.5,37.46527,62.661316,1.3554395,17.540924,42.72654384094821,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,23.0,72.75,37.893005,63.52423,1.4845545,16.606985,43.22901451714225,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,22.75,72.25,38.182068,62.39151,1.9430503,16.40512,43.10377520881335,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,22.75,72.5,37.22699,61.709534,1.5219766,19.056904,42.386894045536124,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 10:00:00,22.75,72.75,37.31488,61.815094,1.7012247,19.316114,42.47043541700885,0,0 days,0.0,2021-04-01 10:00:00
2021-04-01 11:00:00,23.25,72.25,37.694305,62.52304,1.5837184,16.44957,42.76924946945596,0,0 days,0.0,2021-04-01 11:00:00
2021-04-01 11:00:00,23.25,72.5,37.893524,63.127197,1.4909284,16.24664,43.09484043128153,0,0 days,0.0,2021-04-01 11:00:00
2021-04-01 11:00:00,23.25,72.75,37.469696,62.584534,1.4635087,17.886332,42.73255818547022,0,0 days,0.0,2021-04-01 11:00:00
2021-04-01 11:00:00,23.0,72.25,37.342743,61.881683,1.6328757,18.746521,42.484175522884044,0,0 days,0.0,2021-04-01 11:00:00
