date,DayStress,year,NCTL,DayStress_norm,NCTL_norm,CTBI
2021-04-01,37.30940320975475,2021,0.0,0.6848606672222783,0.0,0.10272910008334175
2021-04-02,38.30343856735811,2021,0.0,0.7269336528114104,0.0,0.1809504179800508
2021-04-03,38.91263436970094,2021,0.0,0.7527181342354172,0.0,0.23957301272134812
2021-04-04,39.23323802343415,2021,0.0,0.7662878254945511,0.0,0.28264428272912634
2021-04-05,39.910378005004745,2021,0.0,0.7949480743162161,0.0,0.31709320905782085
2021-04-06,39.380990915480325,2021,0.0,0.772541531914813,0.0,0.3378464761276965
2021-04-07,38.45806305084847,2021,0.0,0.7334782023748204,0.0,0.3465142636456106
2021-04-08,38.91873829777679,2021,0.0,0.7529764856874135,0.0,0.3555064574050394
2021-04-09,38.351923854547145,2021,0.0,0.7289858140082793,0.0,0.35820239228476947
2021-04-10,38.701539738928034,2021,0.0,0.7437834607446625,0.0,0.362309193711038
2021-04-11,39.419023139936975,2021,0.0,0.7741512626142775,0.0,0.36973912498986816
2021-04-12,39.68308033290758,2021,0.0,0.7853275999443143,0.0,0.3766165274845549
2021-04-13,38.30923633345152,2021,0.0,0.7271790458222642,0.0,0.372708426112528
2021-04-14,37.5451213303283,2021,0.0,0.6948375407953666,0.0,0.3651215293980746
2021-04-15,38.84132297176202,2021,0.0,0.7496998478184643,0.0,0.36804004775142185
2021-04-16,38.60395944820954,2021,0.0,0.7396533318374966,0.0,0.36857603320161975
2021-04-17,39.27627578551701,2021,0.0,0.7681094177850571,0.0,0.37321963590889234
2021-04-18,39.7842750170456,2021,0.0,0.789610709649487,0.0,0.37969535158364764
2021-04-19,39.75103402041933,2021,0.0,0.7882037697842922,0.0,0.3840173115761972
2021-04-20,37.47702185386186,2021,0.0,0.6919552003734847,0.0,0.37260539815936067
2021-04-21,38.19559726582882,2021,0.0,0.7223692220892537,0.0,0.3691791620249405
2021-04-22,39.81790588824178,2021,0.0,0.7910341511280662,0.0,0.37708053608666825
2021-04-23,39.71228740281219,2021,0.0,0.7865638020791761,0.0,0.38194094557254415
2021-04-24,40.43348111214178,2021,0.14834998372443664,0.8170886443873547,0.0009107734772213783,0.39005857458046733
2021-04-25,40.275400926811365,2021,0.0,0.8103978307171356,0.0,0.39460067681389743
2021-04-26,40.8196031634128,2021,0.44609378048312465,0.8334314307626198,0.0027387288722062753,0.40164599771495213
2021-04-27,40.79821176796655,2021,0.0,0.8325260305014949,0.0,0.40603110297569067
2021-04-28,40.21089556418234,2021,0.6806735555191565,0.8076676127509899,0.0041788978026743315,0.405998748666033
2021-04-29,40.37153872689608,2021,0.0,0.8144669055710594,0.0,0.406369159901882
2021-04-30,41.0515242272039,2021,2.3720398440249397,0.8432475922301805,0.014562798880134857,0.4131299705978647
2021-05-01,40.41548664163776,2021,0.0,0.8163270204748766,0.0,0.4116400324897368
2021-05-02,40.50601877394156,2021,0.0,0.8201588329638757,0.0,0.4111718476873971
2021-05-03,40.45098889201536,2021,0.0,0.8178296689039222,0.0,0.4104947437167663
2021-05-04,40.32156682270736,2021,0.0,0.8123518226530206,0.0,0.40919909399968946
2021-05-05,40.70357612127746,2021,0.0,0.8285205349535617,0.0,0.4107174460428168
2021-05-06,41.1710085591127,2021,0.7915979548843239,0.8483048193560309,0.004859902265109368,0.4154769204731428
2021-05-07,42.181928361108525,2021,10.32745479241072,0.8910924465121567,0.06340392951847099,0.43400830073579405
2021-05-08,42.00283509796369,2021,19.803389743328204,0.8835122450416875,0.12158007493148243,0.4545696585110313
2021-05-09,42.57912010003847,2021,16.54183701483865,0.9079037623072131,0.10155623910022854,0.4696177611688382
2021-05-10,41.18857439719636,2021,1.541413464601142,0.849048301211985,0.009463287192524194,0.4575091710788631
2021-05-11,40.64935752426227,2021,0.612133179343374,0.8262257088858223,0.003758103980036412,0.44475399168508295
2021-05-12,40.22550839160449,2021,0.012044188887216478,0.8082861071263118,7.39435726093329e-05,0.4325818017843962
2021-05-13,39.57332291222443,2021,2.8753371579686586,0.7806820686325949,0.017652720652881187,0.42255747964189877
2021-05-14,41.47109512684174,2021,3.4544815906134048,0.8610061158873701,0.02120829494746988,0.4281223973745551
2021-05-15,42.35615011935729,2021,42.274533532736,0.8984664593860914,0.2595384437320938,0.47338641362991635
2021-05-16,41.838006966207786,2021,0.0,0.8765358215583522,0.0,0.4628508627746943
2021-05-17,35.417217461030866,2021,0.0,0.6047730696040585,0.0,0.41471156438289475
2021-05-18,21.12857580428001,2021,0.0,0.0,0.0,0.2902980950680263
2021-05-19,30.486225317936675,2021,0.0,0.39606664906312333,0.0,0.2626186639070869
2021-05-20,39.620029087778434,2021,0.0,0.782658928143654,0.0,0.3012319039565089
2021-05-21,38.01410704114853,2021,0.6346595467785789,0.7146875681630266,0.003896401386500829,0.31864992820198534
2021-05-22,38.7557501561364,2021,2.30169657119491,0.7460779405984652,0.014130936431713264,0.3370862812959165
2021-05-23,39.325186689707685,2021,6.27690201579059,0.7701795934095211,0.03853614089852967,0.3572677570533492
2021-05-24,40.26611315817076,2021,11.835060850906295,0.8100047218068918,0.07265966098337341,0.38248708735588416
2021-05-25,40.681682830206015,2021,7.011780757193236,0.8275938917384066,0.043047823676241416,0.3983372184613161
2021-05-26,39.07438902394623,2021,1.779655996915416,0.7595644714255202,0.01092594309669303,0.3944096151012532
2021-05-27,39.83257988084184,2021,0.9435153620406922,0.7916552343465604,0.005792577427536568,0.39570390233699176
2021-05-28,40.129884650323575,2021,7.2809227944404284,0.8042387900383252,0.04470018266527508,0.4043335775414343
2021-05-29,40.61256909027437,2021,9.024359684887216,0.8246686221673463,0.05540376374539008,0.4150443621659144
2021-05-30,40.62959064133418,2021,0.07691996725715455,0.8253890668345971,0.0004722391218908727,0.4144102494096133
2021-05-31,39.04733493524279,2021,1.6228964141485562,0.758419395170998,0.009963540090639801,0.40534461487597495
2021-06-01,38.98489710616053,2021,0.22936875152926461,0.7557766864754762,0.0014081765980121475,0.39731895987420573
2021-06-02,40.336978326701306,2021,0.0,0.8130041213670296,0.0,0.4000738901169984
2021-06-03,40.10995707773456,2021,8.05526589977363,0.8033953467262228,0.04945415125294099,0.4079791477787734
2021-06-04,40.79973037756949,2021,0.0,0.8325903063237292,0.0,0.41047394939370074
2021-06-05,39.844670911976806,2021,12.318268426748197,0.7921669925801161,0.0756262446864544,0.4175007501655761
2021-06-06,40.396983318669285,2021,7.378506196334953,0.8155438591570733,0.045299281984542,0.42137699628714553
2021-06-07,40.565382754914985,2021,8.120244000655347,0.8226714396804317,0.04985307499662816,0.42584257460256086
2021-06-08,40.991905861965535,2021,33.562873599104186,0.840724218587246,0.2060544553222114,0.45510660330821123
