date,year,DayStress_norm,NCTL_norm,CTBI_alpha_0.6,CTBI_alpha_0.7,CTBI_alpha_0.8
2021-04-01,2021,0.6848606672222783,0.0,0.13697213344445566,0.10272910008334177,0.06848606672222782
2021-04-02,2021,0.7269336528114104,0.0,0.2275700106289555,0.18095041798005082,0.12748221865892329
2021-04-03,2021,0.7527181342354172,0.0,0.28708563322445674,0.23957301272134818,0.17725758835068034
2021-04-04,2021,0.7662878254945511,0.0,0.3255089450335843,0.2826442827291264,0.21843485322999937
2021-04-05,2021,0.7949480743162161,0.0,0.3542949818833938,0.3170932090578209,0.2542426900156211
2021-04-06,2021,0.772541531914813,0.0,0.3670852955129989,0.3378464761276966,0.28064830520397815
2021-04-07,2021,0.7334782023748204,0.0,0.3669468177827634,0.34651426364561067,0.29786646440066455
2021-04-08,2021,0.7529764856874135,0.0,0.37076338780714074,0.3555064574050395,0.31359082008927297
2021-04-09,2021,0.7289858140082793,0.0,0.3682551954859403,0.3582023922847696,0.32377123747224634
2021-04-10,2021,0.7437834607446625,0.0,0.3697098094404967,0.3623091937110381,0.33339533605226335
2021-04-11,2021,0.7741512626142775,0.0,0.3766561381871535,0.36973912498986833,0.3441313951032384
2021-04-12,2021,0.7853275999443143,0.0,0.3830592029011549,0.376616527484555,0.35383787607702216
2021-04-13,2021,0.7271790458222642,0.0,0.37527133090514575,0.3727084261125281,0.35578820544384415
2021-04-14,2021,0.6948375407953666,0.0,0.36413030670216073,0.36512152939807463,0.354114318434612
2021-04-15,2021,0.7496998478184643,0.0,0.3684181535849893,0.36804004775142185,0.35826143952953604
2021-04-16,2021,0.7396533318374966,0.0,0.3689815585184929,0.3685760332016198,0.36057448480737847
2021-04-17,2021,0.7681094177850571,0.0,0.37501081866810715,0.3732196359088924,0.36527052962440854
2021-04-18,2021,0.789610709649487,0.0,0.38292863313076164,0.37969535158364776,0.3711774946644755
2021-04-19,2021,0.7882037697842922,0.0,0.3873979338353154,0.38401731157619723,0.3757623727100096
2021-04-20,2021,0.6919552003734847,0.0,0.3708298003758862,0.3726053981593608,0.3698054182053562
2021-04-21,2021,0.7223692220892537,0.0,0.36697172464338246,0.3691791620249406,0.3680812567732103
2021-04-22,2021,0.7910341511280662,0.0,0.37838986501164273,0.37708053608666836,0.37356842053137485
2021-04-23,2021,0.7865638020791761,0.0,0.38434667942282086,0.38194094557254427,0.3775111166330175
2021-04-24,2021,0.8170886443873547,0.0,0.39402573653116346,0.3899219585588842,0.3837177577451495
2021-04-25,2021,0.8103978307171356,0.0,0.3984950080621252,0.39450504559878924,0.38801398926783315
2021-04-26,2021,0.8334314307626198,0.0,0.40578329098979904,0.40116824653354544,0.3937543344905285
2021-04-27,2021,0.8325260305014949,0.0,0.4099751806941784,0.40569667714870605,0.3982560706425723
2021-04-28,2021,0.8076676127509899,0.0,0.407518630966705,0.4051378159167427,0.3993716177891568
2021-04-29,2021,0.8144669055710594,0.0,0.40740455969423484,0.4057665069773788,0.40094398478843135
2021-04-30,2021,0.8432475922301805,0.0,0.413092254262577,0.41052369371869224,0.4050799470537631
2021-05-01,2021,0.8163270204748766,0.0,0.41112075665252157,0.40981563867431603,0.4056966596904981
2021-05-02,2021,0.8201588329638757,0.0,0.4107042205842881,0.40989477201660257,0.4065732110487861
2021-05-03,2021,0.8178296689039222,0.0,0.4099884661313573,0.4096007907472101,0.4070415357294211
2021-05-04,2021,0.8123518226530206,0.0,0.4084634442094185,0.4085733269210001,0.40686841084883896
2021-05-05,2021,0.8285205349535617,0.0,0.4107821735163635,0.41027940908773436,0.4083467821744273
2021-05-06,2021,0.8483048193560309,0.0,0.41613026798102426,0.41444130926481865,0.41150790767514495
2021-05-07,2021,0.8910924465121567,0.0546803093857985,0.43883271196820556,0.4319748298700663,0.4237836017299115
2021-05-08,2021,0.8835122450416875,0.1119940623704369,0.46240088866334816,0.4517083270208651,0.4385775121251416
2021-05-09,2021,0.9079037623072131,0.0958932808819958,0.4781999418358507,0.46676538539298695,0.4512417140190342
2021-05-10,2021,0.849048301211985,0.0,0.45672962534390743,0.4540930149568886,0.4458982013364258
2021-05-11,2021,0.8262257088858223,0.0,0.43928291698350885,0.4417989668026953,0.4393411319577229
2021-05-12,2021,0.8082861071263118,0.0,0.4252269716153677,0.43050219283083346,0.4323015162788095
2021-05-13,2021,0.7806820686325949,0.0171001519102087,0.4146926270777814,0.421018868063004,0.42561943507732797
2021-05-14,2021,0.8610061158873701,0.0,0.42101679942414283,0.42386412502720827,0.4265961596505994
2021-05-15,2021,0.8984664593860914,0.2483469629439779,0.48197276412049955,0.4687269008685562,0.45595826995348643
2021-05-16,2021,0.8765358215583522,0.0,0.46449082278397014,0.4595892038417422,0.45242019811862433
2021-05-17,2021,0.6047730696040585,0.0,0.39964910759119376,0.4124284031298283,0.4224134654553053
2021-05-18,2021,0.0,0.0,0.23978946455471625,0.2886998821908798,0.33793077236424424
2021-05-19,2021,0.3960666490631233,0.0,0.2230870085454544,0.26149991489308433,0.30995128279770773
2021-05-20,2021,0.782658928143654,0.0,0.29038399075600346,0.30044877964670713,0.32622691905253154
2021-05-21,2021,0.7146875681630266,0.0,0.31716790808620743,0.317517280977149,0.3324502920583279
2021-05-22,2021,0.7460779405984652,0.0040777441952992,0.3403318818104773,0.3347854494030689,0.3409758021260388
2021-05-23,2021,0.7701795934095211,0.0406361140444048,0.36636227057707155,0.3559721707002371,0.3538622124462237
2021-05-24,2021,0.8100047218068918,0.0762970656621035,0.397077719840042,0.3821257876105153,0.3717199487038785
2021-05-25,2021,0.8275938917384066,0.0240543285283746,0.40857627595738144,0.39523528436737787,0.3825407809897809
2021-05-26,2021,0.7595644714255202,0.011686911272992,0.3993960421141313,0.3923524064619413,0.383157763061676
2021-05-27,2021,0.7916552343465604,0.0,0.39796867213779086,0.39339496967534293,0.3856917338839968
